easting,northing,number_of_vehicles,casualty_severity,age_of_casualty,1st_road_class_a_m,1st_road_class_b,1st_road_class_c,1st_road_class_motorway,1st_road_class_unclassified,road_surface_dry,road_surface_flood,road_surface_snow,lighting_conditions_darkness_no_street_lighting,lighting_conditions_darkness_street_lighting_unknown,lighting_conditions_darkness_street_lights_present_but_unlit,lighting_conditions_daylight_street_lights_present,weather_conditions_fine_with_high_winds,weather_conditions_fine_without_high_winds,weather_conditions_raining_with_high_winds,weather_conditions_raining_without_high_winds,weather_conditions_snowing_with_high_winds,weather_conditions_snowing_without_high_winds,casualty_class_passenger,casualty_class_pedestrian,sex_of_casualty_male,type_of_vehicle_car,type_of_vehicle_goods_vehicle,type_of_vehicle_minibus,type_of_vehicle_motorcycle,type_of_vehicle_other_vehicle,type_of_vehicle_pedal_cycle,accident_day_of_week,accident_week,accident_hour,road_surface_frost,road_surface_wet,lighting_conditions_darkness_street_lights_present_and_lit,weather_conditions_fog_or_mist,weather_conditions_no_report,casualty_class_driver,year,day,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
432067,428607,2,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,27,18,0,1,1,0,0,0,2009,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
432067,428607,2,0,27,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,27,18,0,1,1,0,0,0,2009,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
425549,436382,2,0,41,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,27,7,0,1,0,0,0,0,2009,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
429298,428264,2,1,23,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,5,31,8,0,1,0,0,0,0,2009,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
429298,428264,2,0,54,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,31,8,0,1,0,0,0,0,2009,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
425070,437952,1,0,71,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,31,11,0,0,0,0,0,0,2009,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
430859,424436,2,0,47,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,5,31,8,0,0,0,0,0,0,2009,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
430859,424436,2,0,22,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,5,31,8,0,0,0,0,0,0,2009,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
432517,436673,2,0,11,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,5,31,8,0,1,0,0,0,0,2009,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
425924,435145,2,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,5,31,16,0,1,1,0,0,0,2009,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
423618,434131,1,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,5,31,17,0,0,1,0,0,0,2009,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
431503,435127,2,0,31,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,36,8,0,0,0,0,0,0,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
440513,448481,2,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,36,21,1,0,1,0,1,0,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
429771,431652,2,0,21,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,36,15,0,0,0,0,0,0,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
422040,443853,1,0,38,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,36,1,0,0,0,0,0,0,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
